name,type,value,date
Early Edition,Susan Seidelman,15,1996
Tales of Erotica,Susan Seidelman,7,1996
Black Sheep,Penelope Spheeris,13,1996
Perfect Love,Catherine Breillat,10,1996
Historias Breves 1,Lucrecia Martel,9,1996
Grace of My Heart,Allison Anders,36,1996
Walking and Talking,Nicole Holofcener,14,1996
Staying Alive,Joanna Hogg,29,1996
Critical Choices,Claudia Weill,30,1996
SUBWAYStories: Tales from the Underground,Julie Dash,26,1997
Snake Feed,Debra Granik,3,1997
Oz,Barbara Kopple,7,1997
Wild Man Blues,Barbara Kopple,1,1997
